發電站名稱/Station Name,裝置容量(瓩)/Installed Capacity(kW)（最大）
大湳淨水場光電站/Danan Water Treatment Plant Photovoltaics Station,860.16
大潭電廠光電站/Datang Power Plant Photovoltaics Station,651.42
大潭電廠GIS廠房光電站/Datang Power Plant GIS Photovoltaics Station,710.04
中大D/S光電站/Zhongda D/S Photovoltaics Station,40.25
中科E/S光電站/Zhongke E/S Photovoltaics Station,198
中部儲運中心光電站/Central Storage and Transportation Center Photovoltaics Station,91.8
北部儲運中心光電站/Northern Storage and Transportation Center Photovoltaics Station,907.68
台中電廠光電站/Taichung Power Plant Photovoltaics Station,2123.04
台中電廠建物光電站/Taichung Power Plant Building Photovoltaics Station,1095.54
台中電廠GIS廠房光電站/Taichung Power Plant GIS Photovoltaics Station,245.52
台中龍井光電站/Taichung Longjing Photovoltaics Station,6485.94
台南七股光電站/Tainan Qigu Photovoltaics Station,1799.5
台南七股II光電站/Tainan Qigu II Photovoltaics Station,3299.83
台南鹽田光電站/Tainan salt field Photovoltaics Station,149999.08
台南鹽田電氣室光電站/Tainan salt field Electrical Room Photovoltaics Station,97.68
平鎮淨水場光電站/Pingzhen Water Treatment Plant Photovoltaics Station,1167.36
永安鹽灘地光電站/Yongan Salt Flats Photovoltaics Station,4636.8
后里E/S光電站/Houli E/S Photovoltaics Station,91.125
竹工E/S光電站/Zhugong E/S Photovoltaics Station,228
卓蘭會館光電站/Zhuolan Hostel Photovoltaics Station,41.9
東勢新伯公光電站/Dongshi Xinbogong Photovoltaics Station,115.8
東興淨水場光電站/Dongxing Water Treatment Plant Photovoltaics Station,737.28
金門金沙光電站/Kinmen Jinsha Photovoltaics Station,528
金門塔山光電站/Kinmen Tashan Photovoltaics Station,216
金門鵲山光電站/Kinmen Queshan Photovoltaics Station,47.7
南投大彎光電站/Nantou Dawan Photovoltaics Station,999.6
核三廠光電站/3rd Nuclear Power Plants Photovoltaics Station,1458.24
馬祖珠山光電站/Mazu Zhushan Photovoltaics Station,74.4
高雄保寧光電站/Kaohsiung Baoning Photovoltaics Station,709.13
高雄E/S光電站/Kaohsiung E/S Photovoltaics Station,379.96
高雄E/S停車棚光電站/Kaohsiung E/S Parking Shed Photovoltaics Station,327.36
"淡水3.5萬噸配水池光電站/Danshui Distribution Reservoir(35,000 tons) Photovoltaic Station",307.2
義竹工作站光電站/Yizhu Workstation Photovoltaics Station,300.44
路北E/S光電站/Lubei E/S Photovoltaics Station,60.03
嘉義分所光電站/Chiayi Agricultural Experiment Branch Photovoltaics Station,257.52
嘉義民雄光電站/Jiayi Minxiong Photovoltaics Station,60
彰化彰濱光電站/Changhua Changbin Photovoltaics Station,99999.1
彰林E/S光電站/Changlin E/S Photovoltaics Station,258
鳳山水庫光電站/Fengshan Reservoir Photovoltaics Station,1999.58
澎湖七美光電站/Penghu Qimei Photovoltaics Station,682.56
澎湖七美光電站/Penghu Qimei Photovoltaics Station/Qimei 1st Photovoltaics,154.56
澎湖尖山小再光電站/Penghu jianshan Small Scale Renewable Energy Photovoltaics Station,745.2
澎湖尖山光電站/Penghu jianshan Photovoltaics Station,70.61
澎湖尖山光電站/Penghu jianshan Photovoltaics Station/Penghu Photovoltaics,70.61
燕巢倉庫光電站/Yanchao Warehouse Photovoltaics Station,497.96
興達電廠光電站/Xingda Power Plant Photovoltaics Station,1627.65
龍潭淨水場光電站/Longtan Water Treatment Plant Photovoltaics Station,368.64
龍潭E/S光電站/Longtan E/S Photovoltaics Station,162
龜山第三加壓站光電站/Guishan No.3 Pumping Station Photovoltaics Station,307.2
蘭嶼貯存場光電站/Lanyu Storage Unit Photovoltaics Station,32.4
蘭嶼電廠光電站/Lanyu Power Plant Photovoltaics Station,28.8
總計,149999.08