,date,Temp,SunShineHour,GlobalRad,UV,degree,station,capacity
850,2019-05-01,35.85,10.25,20.82,8.76,152111.0,彰化彰濱光電,99999.1
851,2019-05-02,29.1,13.15,24.01,10.29,24559.0,彰化彰濱光電,99999.1
852,2019-05-03,27.8,3.7,15.92,6.93,2958.0,彰化彰濱光電,99999.1
853,2019-05-04,29.9,9.25,23.12,12.57,320215.0,彰化彰濱光電,99999.1
854,2019-05-05,30.55,13.1,30.46,13.24,169487.0,彰化彰濱光電,99999.1
855,2019-05-06,33.15,15.3,33.49,14.18,69873.0,彰化彰濱光電,99999.1
856,2019-05-07,33.9,2.9,19.45,10.86,194214.0,彰化彰濱光電,99999.1
857,2019-05-08,38.3,2.45,14.32,6.14,179721.0,彰化彰濱光電,99999.1
858,2019-05-09,18.35,3.35,10.78,4.23,137963.0,彰化彰濱光電,99999.1
859,2019-05-10,13.05,1.45,6.21,4.2,309680.0,彰化彰濱光電,99999.1
860,2019-05-11,20.35,5.25,16.88,6.48,447958.0,彰化彰濱光電,99999.1
861,2019-05-12,19.35,0.25,2.86,2.54,427789.0,彰化彰濱光電,99999.1
862,2019-05-13,25.25,2.15,15.83,6.66,352867.0,彰化彰濱光電,99999.1
863,2019-05-14,25.3,3.55,16.77,10.83,234231.0,彰化彰濱光電,99999.1
864,2019-05-15,26.15,6.3,20.51,9.96,161766.0,彰化彰濱光電,99999.1
865,2019-05-16,26.85,5.35,18.52,9.84,137738.0,彰化彰濱光電,99999.1
866,2019-05-17,26.35,4.15,15.4,8.59,94390.0,彰化彰濱光電,99999.1
867,2019-05-18,26.3,1.5,11.56,6.14,123398.0,彰化彰濱光電,99999.1
868,2019-05-19,20.55,0.0,5.75,3.86,233129.0,彰化彰濱光電,99999.1
869,2019-05-20,15.9,0.0,3.26,1.62,86765.0,彰化彰濱光電,99999.1
870,2019-05-21,10.45,9.55,17.88,2.34,108624.0,彰化彰濱光電,99999.1
871,2019-05-22,12.95,2.7,10.64,5.03,157226.0,彰化彰濱光電,99999.1
872,2019-05-23,16.7,10.45,22.66,7.82,71430.0,彰化彰濱光電,99999.1
873,2019-05-24,23.25,4.1,13.34,6.73,273419.0,彰化彰濱光電,99999.1
874,2019-05-25,23.5,4.8,15.18,5.14,248620.0,彰化彰濱光電,99999.1
875,2019-05-26,26.0,3.55,17.48,7.7,272942.0,彰化彰濱光電,99999.1
876,2019-05-27,25.75,1.45,12.6,6.22,150976.0,彰化彰濱光電,99999.1
877,2019-05-28,26.55,4.05,16.0,5.44,86721.0,彰化彰濱光電,99999.1
878,2019-05-29,25.55,5.3,17.16,8.24,216390.0,彰化彰濱光電,99999.1
879,2019-05-30,20.7,0.25,7.89,5.3,399655.0,彰化彰濱光電,99999.1
880,2019-05-31,21.35,2.05,10.0,3.8,556628.0,彰化彰濱光電,99999.1
881,2019-06-01,17.65,0.3,6.37,3.86,522573.0,彰化彰濱光電,99999.1
882,2019-06-02,20.25,7.8,15.2,6.12,510036.0,彰化彰濱光電,99999.1
883,2019-06-03,19.75,9.35,20.44,9.07,263500.0,彰化彰濱光電,99999.1
884,2019-06-04,18.45,8.6,20.72,9.24,255500.0,彰化彰濱光電,99999.1
885,2019-06-05,21.25,6.15,20.97,9.25,603378.0,彰化彰濱光電,99999.1
886,2019-06-06,25.1,8.55,23.2,7.68,552608.0,彰化彰濱光電,99999.1
887,2019-06-07,22.0,0.0,1.45,1.2,559102.0,彰化彰濱光電,99999.1
888,2019-06-08,26.35,6.15,21.01,12.16,471899.0,彰化彰濱光電,99999.1
889,2019-06-09,24.1,0.05,5.36,3.99,403403.0,彰化彰濱光電,99999.1
890,2019-06-10,26.65,4.8,16.75,7.27,174301.0,彰化彰濱光電,99999.1
891,2019-06-11,24.45,4.55,13.18,5.26,148269.0,彰化彰濱光電,99999.1
892,2019-06-12,20.35,9.85,17.43,6.35,84500.0,彰化彰濱光電,99999.1
893,2019-06-13,17.3,9.5,15.62,5.2,244671.0,彰化彰濱光電,99999.1
894,2019-06-14,15.9,9.25,15.61,5.38,330438.0,彰化彰濱光電,99999.1
895,2019-06-15,20.05,8.1,17.07,7.19,666329.0,彰化彰濱光電,99999.1
896,2019-06-16,19.65,2.45,10.92,6.04,574490.0,彰化彰濱光電,99999.1
897,2019-06-17,29.2,6.05,22.7,10.88,563920.0,彰化彰濱光電,99999.1
898,2019-06-18,36.7,2.8,14.24,5.23,469179.0,彰化彰濱光電,99999.1
899,2019-06-19,41.45,9.4,30.48,16.34,611021.0,彰化彰濱光電,99999.1
900,2019-06-20,42.9,15.25,39.11,18.81,608889.0,彰化彰濱光電,99999.1
901,2019-06-21,38.75,9.0,25.62,16.23,599301.0,彰化彰濱光電,99999.1
902,2019-06-22,39.55,3.9,21.62,11.64,473097.0,彰化彰濱光電,99999.1
903,2019-06-23,39.15,8.05,22.34,12.4,117199.0,彰化彰濱光電,99999.1
904,2019-06-24,33.5,11.45,23.38,11.05,135000.0,彰化彰濱光電,99999.1
905,2019-06-25,30.9,7.85,19.58,8.86,387101.0,彰化彰濱光電,99999.1
906,2019-06-26,14.35,3.5,13.56,7.02,310897.0,彰化彰濱光電,99999.1
907,2019-06-27,25.6,8.05,21.88,9.63,341501.0,彰化彰濱光電,99999.1
908,2019-06-28,31.75,14.75,29.94,11.95,634905.0,彰化彰濱光電,99999.1
909,2019-06-29,34.2,13.7,35.0,14.78,543470.0,彰化彰濱光電,99999.1
910,2019-06-30,42.15,17.4,41.79,17.21,533222.0,彰化彰濱光電,99999.1
911,2019-07-01,40.0,7.7,28.96,14.06,556602.0,彰化彰濱光電,99999.1
912,2019-07-02,41.0,8.2,28.21,14.18,479002.0,彰化彰濱光電,99999.1
913,2019-07-03,39.75,9.75,30.3,15.82,183899.0,彰化彰濱光電,99999.1
914,2019-07-04,37.8,0.7,12.21,8.1,316303.0,彰化彰濱光電,99999.1
915,2019-07-05,40.35,3.75,12.68,7.51,370500.0,彰化彰濱光電,99999.1
916,2019-07-06,29.45,2.65,14.06,9.34,127699.0,彰化彰濱光電,99999.1
917,2019-07-07,28.35,14.25,24.13,9.3,537101.0,彰化彰濱光電,99999.1
918,2019-07-08,19.7,0.7,6.88,3.3,560000.0,彰化彰濱光電,99999.1
919,2019-07-09,27.2,13.1,28.47,13.3,438995.0,彰化彰濱光電,99999.1
920,2019-07-10,31.1,16.4,34.36,14.18,405700.0,彰化彰濱光電,99999.1
921,2019-07-11,36.05,11.8,30.73,13.14,329498.0,彰化彰濱光電,99999.1
922,2019-07-12,34.8,0.65,13.26,10.26,570598.0,彰化彰濱光電,99999.1
923,2019-07-13,38.6,2.75,22.52,12.24,531203.0,彰化彰濱光電,99999.1
924,2019-07-14,41.9,6.45,25.41,13.72,513698.0,彰化彰濱光電,99999.1
925,2019-07-15,39.9,8.35,27.27,16.78,543001.0,彰化彰濱光電,99999.1
926,2019-07-16,36.75,5.5,20.87,13.6,545000.0,彰化彰濱光電,99999.1
927,2019-07-17,34.95,15.3,30.71,13.61,541099.0,彰化彰濱光電,99999.1
928,2019-07-18,36.25,12.9,24.7,10.8,242802.0,彰化彰濱光電,99999.1
929,2019-07-19,26.95,4.9,15.64,7.71,305999.0,彰化彰濱光電,99999.1
930,2019-07-20,28.55,3.0,15.02,8.14,300801.0,彰化彰濱光電,99999.1
931,2019-07-21,31.5,14.95,28.96,14.48,392301.0,彰化彰濱光電,99999.1
932,2019-07-22,28.75,9.5,23.46,10.5,455598.0,彰化彰濱光電,99999.1
933,2019-07-23,33.1,9.45,26.88,13.92,483902.0,彰化彰濱光電,99999.1
934,2019-07-24,34.55,1.2,19.45,9.91,551000.0,彰化彰濱光電,99999.1
935,2019-07-25,38.55,2.35,18.2,12.16,529699.0,彰化彰濱光電,99999.1
936,2019-07-26,17.4,0.1,5.74,3.2,539802.0,彰化彰濱光電,99999.1
937,2019-07-27,15.4,9.7,11.27,5.54,440097.0,彰化彰濱光電,99999.1
938,2019-07-28,21.65,6.45,18.69,6.35,471499.0,彰化彰濱光電,99999.1
939,2019-07-29,17.7,0.05,2.66,2.44,580903.0,彰化彰濱光電,99999.1
940,2019-07-30,24.5,1.75,12.04,4.68,543997.0,彰化彰濱光電,99999.1
941,2019-07-31,26.4,7.35,25.95,13.12,569905.0,彰化彰濱光電,99999.1
942,2019-08-01,26.65,8.0,22.27,10.61,387501.0,彰化彰濱光電,99999.1
943,2019-08-02,26.8,5.95,21.12,11.26,480695.0,彰化彰濱光電,99999.1
944,2019-08-03,25.85,3.2,13.3,7.68,538304.0,彰化彰濱光電,99999.1
945,2019-08-04,25.55,0.45,8.77,5.4,557898.0,彰化彰濱光電,99999.1
946,2019-08-05,21.45,1.05,9.26,4.91,481501.0,彰化彰濱光電,99999.1
947,2019-08-06,17.85,1.9,10.91,4.78,531296.0,彰化彰濱光電,99999.1
948,2019-08-07,10.5,9.85,17.8,2.48,500703.0,彰化彰濱光電,99999.1
949,2019-08-08,14.1,6.1,15.45,7.16,455797.0,彰化彰濱光電,99999.1
950,2019-08-09,17.75,10.25,21.98,7.3,307203.0,彰化彰濱光電,99999.1
951,2019-08-10,24.1,7.8,20.6,7.3,302696.0,彰化彰濱光電,99999.1
952,2019-08-11,24.45,4.4,17.86,7.6,348703.0,彰化彰濱光電,99999.1
953,2019-08-12,26.4,5.75,21.74,8.44,110602.0,彰化彰濱光電,99999.1
954,2019-08-13,25.4,3.8,15.26,7.84,117512.0,彰化彰濱光電,99999.1
955,2019-08-14,25.4,4.2,12.5,7.57,484602.0,彰化彰濱光電,99999.1
956,2019-08-15,26.2,4.3,16.58,6.8,182898.0,彰化彰濱光電,99999.1
957,2019-08-16,22.3,3.8,16.52,7.96,309696.0,彰化彰濱光電,99999.1
958,2019-08-17,21.65,9.45,17.82,7.18,483601.0,彰化彰濱光電,99999.1
959,2019-08-18,17.4,1.65,8.74,4.84,249704.0,彰化彰濱光電,99999.1
960,2019-08-19,19.25,4.15,12.58,5.35,175399.0,彰化彰濱光電,99999.1
961,2019-08-20,20.2,8.3,19.86,8.54,392796.0,彰化彰濱光電,99999.1
962,2019-08-21,19.05,4.75,14.68,6.01,298399.0,彰化彰濱光電,99999.1
963,2019-08-22,20.6,1.35,9.16,4.14,558897.0,彰化彰濱光電,99999.1
964,2019-08-23,25.3,7.45,22.3,6.08,513806.0,彰化彰濱光電,99999.1
965,2019-08-24,23.95,0.1,9.34,6.18,124297.0,彰化彰濱光電,99999.1
966,2019-08-25,26.75,6.65,21.04,10.49,212398.0,彰化彰濱光電,99999.1
967,2019-08-26,24.8,3.1,12.32,6.96,432703.0,彰化彰濱光電,99999.1
968,2019-08-27,26.3,4.45,16.03,5.91,549102.0,彰化彰濱光電,99999.1
969,2019-08-28,24.4,5.8,16.15,6.15,261093.0,彰化彰濱光電,99999.1
970,2019-08-29,20.25,8.2,14.04,5.1,215602.0,彰化彰濱光電,99999.1
971,2019-08-30,16.75,8.25,14.4,5.06,193999.0,彰化彰濱光電,99999.1
972,2019-08-31,15.4,5.9,12.57,5.29,364298.0,彰化彰濱光電,99999.1
973,2019-09-01,20.1,4.8,12.52,6.89,497406.0,彰化彰濱光電,99999.1
974,2019-09-02,21.2,2.4,12.21,5.32,562493.0,彰化彰濱光電,99999.1
975,2019-09-03,28.1,13.1,35.24,12.7,540000.0,彰化彰濱光電,99999.1
976,2019-09-04,38.8,12.7,32.23,12.1,343304.0,彰化彰濱光電,99999.1
977,2019-09-05,40.9,8.7,28.68,14.9,500196.0,彰化彰濱光電,99999.1
978,2019-09-06,43.05,8.45,28.65,15.09,574500.0,彰化彰濱光電,99999.1
979,2019-09-07,40.2,12.15,31.38,15.03,490398.0,彰化彰濱光電,99999.1
980,2019-09-08,39.2,6.25,18.74,10.72,542102.0,彰化彰濱光電,99999.1
981,2019-09-09,38.9,11.2,25.27,11.8,504898.0,彰化彰濱光電,99999.1
982,2019-09-10,33.45,0.55,11.36,6.99,483398.0,彰化彰濱光電,99999.1
983,2019-09-11,29.4,9.1,19.15,8.46,518000.0,彰化彰濱光電,99999.1
984,2019-09-12,17.9,14.3,25.17,9.28,516500.0,彰化彰濱光電,99999.1
985,2019-09-13,28.1,12.15,26.38,11.88,458398.0,彰化彰濱光電,99999.1
986,2019-09-14,29.85,12.25,27.96,12.74,533500.0,彰化彰濱光電,99999.1
987,2019-09-15,35.1,10.35,26.9,12.01,462501.0,彰化彰濱光電,99999.1
988,2019-09-16,42.05,12.5,33.39,16.04,479898.0,彰化彰濱光電,99999.1
989,2019-09-17,40.6,12.65,36.1,16.98,509102.0,彰化彰濱光電,99999.1
990,2019-09-18,39.2,7.2,25.92,11.55,555693.0,彰化彰濱光電,99999.1
991,2019-09-19,39.15,8.8,27.56,16.68,516307.0,彰化彰濱光電,99999.1
992,2019-09-20,39.65,5.35,21.82,11.46,395296.0,彰化彰濱光電,99999.1
993,2019-09-21,36.75,0.05,7.82,7.34,344602.0,彰化彰濱光電,99999.1
994,2019-09-22,27.6,2.1,12.08,8.46,465101.0,彰化彰濱光電,99999.1
995,2019-09-23,27.6,14.25,23.76,8.94,509399.0,彰化彰濱光電,99999.1
996,2019-09-24,20.8,11.55,22.34,8.62,510499.0,彰化彰濱光電,99999.1
997,2019-09-25,27.3,4.3,17.22,10.36,522094.0,彰化彰濱光電,99999.1
998,2019-09-26,33.3,14.05,32.35,14.85,523601.0,彰化彰濱光電,99999.1
999,2019-09-27,35.25,6.75,26.24,13.45,523297.0,彰化彰濱光電,99999.1
1000,2019-09-28,34.6,0.0,9.99,7.27,446704.0,彰化彰濱光電,99999.1
1001,2019-09-29,40.25,8.95,30.67,16.08,478195.0,彰化彰濱光電,99999.1
1002,2019-09-30,41.85,10.0,31.59,15.8,240000.0,彰化彰濱光電,99999.1
1003,2019-10-01,40.85,11.2,32.76,18.4,420805.0,彰化彰濱光電,99999.1
1004,2019-10-02,37.45,7.15,23.26,13.23,509398.0,彰化彰濱光電,99999.1
1005,2019-10-03,36.0,14.7,29.16,12.34,484297.0,彰化彰濱光電,99999.1
1006,2019-10-04,35.65,14.45,26.78,11.6,484398.0,彰化彰濱光電,99999.1
1007,2019-10-05,26.65,6.65,18.25,9.54,480602.0,彰化彰濱光電,99999.1
1008,2019-10-06,31.95,11.35,21.67,9.7,395203.0,彰化彰濱光電,99999.1
1009,2019-10-07,33.4,13.75,29.62,15.24,459797.0,彰化彰濱光電,99999.1
1010,2019-10-08,24.4,1.2,14.57,7.93,428297.0,彰化彰濱光電,99999.1
1011,2019-10-09,33.95,11.45,30.58,13.76,451101.0,彰化彰濱光電,99999.1
1012,2019-10-10,34.35,0.15,15.57,8.2,506602.0,彰化彰濱光電,99999.1
1013,2019-10-11,38.55,3.0,19.77,12.68,523196.0,彰化彰濱光電,99999.1
1014,2019-10-12,15.15,0.9,4.7,2.13,462601.0,彰化彰濱光電,99999.1
1015,2019-10-13,15.95,8.2,11.32,5.56,499898.0,彰化彰濱光電,99999.1
1016,2019-10-14,16.7,0.2,7.8,3.74,467101.0,彰化彰濱光電,99999.1
1017,2019-10-15,20.9,1.65,10.52,5.01,468899.0,彰化彰濱光電,99999.1
1018,2019-10-16,25.1,6.5,22.35,8.14,482999.0,彰化彰濱光電,99999.1
1019,2019-10-17,22.7,0.0,1.31,2.55,482695.0,彰化彰濱光電,99999.1
1020,2019-10-18,25.85,4.9,16.93,7.59,498600.0,彰化彰濱光電,99999.1
1021,2019-10-19,26.6,8.25,23.04,10.51,426002.0,彰化彰濱光電,99999.1
1022,2019-10-20,26.2,6.55,20.04,8.78,472400.0,彰化彰濱光電,99999.1
1023,2019-10-21,23.2,0.25,4.95,5.66,238398.0,彰化彰濱光電,99999.1
1024,2019-10-22,22.4,3.25,11.84,5.48,237102.0,彰化彰濱光電,99999.1
1025,2019-10-23,18.0,6.7,11.78,4.14,226703.0,彰化彰濱光電,99999.1
1026,2019-10-24,13.05,9.9,17.99,6.18,212297.0,彰化彰濱光電,99999.1
1027,2019-10-25,16.35,9.4,19.94,7.87,202703.0,彰化彰濱光電,99999.1
1028,2019-10-26,19.5,2.45,13.03,5.86,423797.0,彰化彰濱光電,99999.1
1029,2019-10-27,24.7,6.15,20.06,8.12,388000.0,彰化彰濱光電,99999.1
1030,2019-10-28,24.9,4.85,19.19,7.32,370500.0,彰化彰濱光電,99999.1
1031,2019-10-29,26.0,3.2,15.36,6.52,260102.0,彰化彰濱光電,99999.1
1032,2019-10-30,25.8,6.8,21.17,8.56,420492.0,彰化彰濱光電,99999.1
1033,2019-10-31,24.3,4.15,14.38,8.85,359203.0,彰化彰濱光電,99999.1
1034,2019-11-01,26.65,5.65,17.05,6.27,409601.0,彰化彰濱光電,99999.1
1035,2019-11-02,23.75,6.75,16.92,7.87,382399.0,彰化彰濱光電,99999.1
1036,2019-11-03,21.55,9.0,18.28,7.32,390602.0,彰化彰濱光電,99999.1
1037,2019-11-04,18.65,2.6,9.75,4.36,282398.0,彰化彰濱光電,99999.1
1038,2019-11-05,19.35,4.4,11.69,4.71,433601.0,彰化彰濱光電,99999.1
1039,2019-11-06,20.3,8.15,18.42,8.07,414095.0,彰化彰濱光電,99999.1
1040,2019-11-07,19.1,4.95,16.46,6.42,411304.0,彰化彰濱光電,99999.1
1041,2019-11-08,22.95,6.25,20.34,8.44,428297.0,彰化彰濱光電,99999.1
1042,2019-11-09,25.55,7.35,22.36,-43.84,422797.0,彰化彰濱光電,99999.1
1043,2019-11-10,23.45,0.4,7.82,5.04,400398.0,彰化彰濱光電,99999.1
1044,2019-11-11,27.05,7.25,22.37,9.93,402102.0,彰化彰濱光電,99999.1
1045,2019-11-12,26.25,3.85,16.62,7.74,383797.0,彰化彰濱光電,99999.1
1046,2019-11-13,26.5,4.4,17.91,8.27,369101.0,彰化彰濱光電,99999.1
1047,2019-11-14,23.4,3.55,11.08,4.18,320202.0,彰化彰濱光電,99999.1
1048,2019-11-15,19.55,4.7,11.98,4.57,370001.0,彰化彰濱光電,99999.1
1049,2019-11-16,18.35,9.6,15.76,5.59,362695.0,彰化彰濱光電,99999.1
1050,2019-11-17,16.55,9.65,16.86,5.4,385899.0,彰化彰濱光電,99999.1
1051,2019-11-18,20.7,6.9,15.38,6.75,303305.0,彰化彰濱光電,99999.1
1052,2019-11-19,16.85,0.55,4.35,2.34,191102.0,彰化彰濱光電,99999.1
1053,2019-11-20,28.4,4.05,21.78,10.15,192796.0,彰化彰濱光電,99999.1
1054,2019-11-21,39.25,11.9,33.72,13.92,353102.0,彰化彰濱光電,99999.1
1055,2019-11-22,39.75,7.9,24.26,14.76,271000.0,彰化彰濱光電,99999.1
1056,2019-11-23,41.85,6.1,22.82,12.26,211196.0,彰化彰濱光電,99999.1
1057,2019-11-24,40.1,8.8,25.18,12.56,351600.0,彰化彰濱光電,99999.1
1058,2019-11-25,40.65,12.35,28.24,10.96,301601.0,彰化彰濱光電,99999.1
1059,2019-11-26,38.7,10.55,25.25,12.84,309299.0,彰化彰濱光電,99999.1
1060,2019-11-27,33.35,0.35,10.62,7.21,320797.0,彰化彰濱光電,99999.1
1061,2019-11-28,27.5,12.5,21.42,8.62,333203.0,彰化彰濱光電,99999.1
1062,2019-11-29,20.6,14.65,25.72,9.41,313194.0,彰化彰濱光電,99999.1
1063,2019-11-30,27.0,10.0,25.01,11.26,337602.0,彰化彰濱光電,99999.1
1064,2019-12-01,29.55,14.8,31.4,13.78,277398.0,彰化彰濱光電,99999.1
1065,2019-12-02,33.3,5.9,26.28,12.7,336602.0,彰化彰濱光電,99999.1
1066,2019-12-03,41.05,10.4,31.12,13.41,270399.0,彰化彰濱光電,99999.1
1067,2019-12-04,41.4,12.75,36.83,17.2,187500.0,彰化彰濱光電,99999.1
1068,2019-12-05,40.7,12.15,36.17,15.69,33397.0,彰化彰濱光電,99999.1
1069,2019-12-06,39.0,8.75,26.53,14.53,75601.0,彰化彰濱光電,99999.1
1070,2019-12-07,41.4,13.25,32.33,15.67,423399.0,彰化彰濱光電,99999.1
1071,2019-12-08,36.45,0.05,8.3,4.87,468203.0,彰化彰濱光電,99999.1
1072,2019-12-09,28.7,12.35,23.51,9.46,284001.0,彰化彰濱光電,99999.1
1073,2019-12-10,28.8,14.35,23.46,8.69,422101.0,彰化彰濱光電,99999.1
1074,2019-12-11,21.4,14.2,23.88,8.96,422000.0,彰化彰濱光電,99999.1
1075,2019-12-12,22.15,2.3,9.98,5.88,439399.0,彰化彰濱光電,99999.1
1076,2019-12-13,33.0,4.85,19.52,8.67,431398.0,彰化彰濱光電,99999.1
1077,2019-12-14,35.3,11.9,31.1,13.65,442798.0,彰化彰濱光電,99999.1
1078,2019-12-15,32.45,0.0,8.01,5.52,428499.0,彰化彰濱光電,99999.1
1079,2019-12-16,40.4,7.55,27.79,15.12,429001.0,彰化彰濱光電,99999.1
1080,2019-12-17,41.55,4.9,22.86,13.32,422000.0,彰化彰濱光電,99999.1
1081,2019-12-18,41.3,10.3,29.24,14.14,375296.0,彰化彰濱光電,99999.1
1082,2019-12-19,39.05,13.15,31.91,15.6,221600.0,彰化彰濱光電,99999.1
1083,2019-12-20,36.4,12.2,26.53,11.72,255704.0,彰化彰濱光電,99999.1
1084,2019-12-21,34.4,12.0,23.54,11.04,112899.0,彰化彰濱光電,99999.1
1085,2019-12-22,24.5,1.65,8.62,6.38,356196.0,彰化彰濱光電,99999.1
1086,2019-12-23,33.15,8.15,18.95,9.26,407499.0,彰化彰濱光電,99999.1
1087,2019-12-24,22.85,0.1,7.18,6.52,268500.0,彰化彰濱光電,99999.1
1088,2019-12-25,26.35,8.1,23.46,11.84,409103.0,彰化彰濱光電,99999.1
1089,2019-12-26,35.9,13.1,32.08,14.57,382397.0,彰化彰濱光電,99999.1
1090,2019-12-27,33.5,0.0,8.53,5.22,406500.0,彰化彰濱光電,99999.1
1091,2019-12-28,38.2,0.05,14.07,7.86,274899.0,彰化彰濱光電,99999.1
1092,2019-12-29,14.75,0.05,4.44,2.22,14898.0,彰化彰濱光電,99999.1
1093,2019-12-30,15.55,9.0,11.74,6.2,84703.0,彰化彰濱光電,99999.1
1094,2019-12-31,16.75,0.85,8.52,3.24,332602.0,彰化彰濱光電,99999.1
1095,2020-01-01,22.45,3.3,9.99,4.48,359094.0,彰化彰濱光電,99999.1
1096,2020-01-02,24.05,3.75,17.72,6.66,453501.0,彰化彰濱光電,99999.1
1097,2020-01-03,21.75,0.0,3.24,2.5,409907.0,彰化彰濱光電,99999.1
1098,2020-01-04,26.6,9.0,25.08,10.33,394492.0,彰化彰濱光電,99999.1
1099,2020-01-05,26.7,8.75,24.05,9.47,275500.0,彰化彰濱光電,99999.1
1100,2020-01-06,26.45,7.9,20.68,7.7,226204.0,彰化彰濱光電,99999.1
1101,2020-01-07,22.5,0.0,2.16,2.12,361701.0,彰化彰濱光電,99999.1
1102,2020-01-08,22.05,5.3,12.57,5.32,454095.0,彰化彰濱光電,99999.1
1103,2020-01-09,18.25,6.4,13.36,5.24,427385.0,彰化彰濱光電,99999.1
